District District,Constituency #,Constituency Name,Winner Candidate,Winner Party,Winner Party.1,Winner Votes,Winner %,Runner-up Candidate,Runner-up Party,Runner-up Party.1,Runner-up Votes,Runner-up %,Margin Margin
Azamgarh,344,Gopalpur,Nafees Ahmad,,SP,70980,37.8,Shrikrishna Pal,,BJP,56020,29.83,14960
Azamgarh,345,Sagri,Bandana Singh,,BSP,62203,34.91,Jairam Patel,,SP,56728,31.84,5475
Azamgarh,346,Mubarakpur,Shah Alam,,BSP,70705,36.95,Akhilesh Yadav,,SP,70017,36.59,688
Azamgarh,347,Azamgarh,Durga Prasad Yadav,,SP,88087,41.59,Akhilesh,,BJP,61825,29.19,26262
Azamgarh,348,Nizamabad,Alambadi,,SP,67274,40.47,Chandra Dev Ram,,BSP,48745,29.32,18529
Azamgarh,349,Phoolpur Pawai,Arun Kumar Yadav,,BJP,68435,38.7,Abul Qais Azmi,,BSP,61140,34.57,7295
Azamgarh,350,Didarganj,Sukhdev Rajbhar,,BSP,62125,33.44,Adil Sheikh,,SP,58480,31.48,3645
Azamgarh,351,Lalganj (SC),Azad Ari Mardan,,BSP,72715,36.08,Daroga Prasad Saroj,,BJP,70488,34.98,2227
Azamgarh,352,Mehnagar (SC),Kalpnath Paswan,,SP,69037,34.58,Manjoo Saroj,,SBSP,63625,31.87,5412
Mau,353,Madhuban,Dara Singh Chauhan,,BJP,86238,40.39,Amresh Chand,,INC,56823,26.61,29415
Mau,354,Ghosi,Fagu Chauhan,,BJP,88298,36.78,Abbas Ansari,,BSP,81295,33.87,7003
Mau,355,Muhammadabad (SC),Shriram Sonkar,,BJP,73493,35.02,Rajendra,,BSP,72955,34.77,538
Mau,356,Mau,Mukhtar Ansari,,BSP,96793,36.62,Mahendra Rajbhar,,SBSP,88095,33.33,8698
Ballia,357,Belthara Road (SC),Dhananjay Kannoujia,,BJP,77504,41.1,Gorakh Paswan,,SP,59185,31.39,18319
Ballia,358,Rasara,Umashankar Singh,,BSP,92272,48.16,Ram Iqball Singh,,BJP,58385,30.47,33887
Ballia,359,Sikanderpur,Sanjay Yadav,,BJP,69536,42.53,Ziauddin Rizwi,,SP,45988,28.13,23548
Ballia,360,Phephana,Upendra Tiwari,,BJP,70588,39.84,Ambika Choudhary,,BSP,52691,29.74,17897
Ballia,361,Ballia Nagar,Anand,,BJP,92889,50.42,Laxman,,SP,52878,28.7,40011
Ballia,362,Bansdih,Ram Govind Chaudhary,,SP,51201,24.5,Ketakee Singh,,Ind,49514,23.69,1687
Ballia,363,Bairia,Surendra,,BJP,64868,40.21,Jai Prakash Anchal,,SP,47791,29.62,17077
Jaunpur,364,Badlapur,Ramesh Chandra Mishra,,BJP,60237,31.88,Lalji Yadav,,BSP,57865,30.62,2372
Jaunpur,365,Shahganj,Shailendra Yadav Lalai,,SP,67818,31.87,Rana Ajeet Pratap Singh,,SBSP,58656,27.57,9162
Jaunpur,366,Jaunpur,Girish Chandra Yadav,,BJP,90324,40.39,Nadeem Javed,,INC,78040,34.9,12284
Jaunpur,367,Malhani,Parasnath Yadava,,SP,69351,33.67,Dhananjay Singh,,NISHAD,48141,23.37,21210
Jaunpur,368,Mungra Badshahpur,Sushma Patel,,BSP,69557,34.42,Seema Dwivedi,,BJP,63637,31.49,5920
Jaunpur,369,Machhlishahr (SC),Jagdish Sonkar,,SP,72368,35.1,Anita Rawat,,BJP,68189,33.07,4179
Jaunpur,370,Mariyahu,Leena Tiwari,,AD(S),58804,32.88,Shraddha Yadav,,SP,47454,26.53,11350
Jaunpur,371,Zafrabad,Dr Harendra Prasad Singh,,BJP,85989,41.89,Sachindra Nath Tripathi,,SP,61124,29.78,24865
Jaunpur,372,Kerakat (SC),Dinesh Choudahry,,BJP,84078,37.44,Sajai Kumar Saroj,,SP,68819,30.64,15259
Ghazipur,373,Jakhanian (SC),Triveni Ram,,SBSP,84158,35.26,Gareeb,,SP,79001,33.1,5157
Ghazipur,374,Saidpur (SC),Subhash Pasi,,SP,76664,36.26,Vidyasagar Sonkar,,BJP,67954,32.14,8710
Ghazipur,375,Ghazipur Sadar,Sangeeta Balwant,,BJP,92090,43.42,Rajesh Kuswaha,,SP,59483,28.05,32607
Ghazipur,376,Jangipur,Virendra Kumar Yadav,,SP,71441,33.46,Ramesh Narayan Kushwaha,,BJP,68202,31.94,3239
Ghazipur,377,Zahoorabad,Om Prakash Rajbhar,,SBSP,86583,37.81,Kalicharan,,BSP,68502,29.91,18081
Ghazipur,378,Mohammadabad,Alka Rai,,BJP,122156,53.61,Sibakatullah Ansari,,BSP,89429,39.25,32727
