Constituency number,Constituency name,Reserved for (SC/STNone),Electors [6],District[7],Lok Sabha constituency
87.0,Agra Cantt.,SC,467201.0,Agra,Agra
88.0,Agra South,,367502.0,Agra,Agra
89.0,Agra North,,435557.0,Agra,Agra
90.0,Agra Rural,SC,427896.0,Agra,Fatehpur Sikri
91.0,Fatehpur Sikri,,359005.0,Agra,Fatehpur Sikri
92.0,Kheragarh,,328680.0,Agra,Fatehpur Sikri
93.0,Fatehabad,,322495.0,Agra,Fatehpur Sikri
94.0,Bah,,334525.0,Agra,Fatehpur Sikri
95.0,Tundla,SC,372750.0,Firozabad,Firozabad
96.0,Jasrana,,367280.0,Firozabad,Firozabad
97.0,Firozabad,,439689.0,Firozabad,Firozabad
98.0,Shikohabad,,357741.0,Firozabad,Firozabad
99.0,Sirsaganj,,321298.0,Firozabad,Firozabad
100.0,Kasganj,,364023.0,Kasganj,Etah
101.0,Amanpur,,310854.0,Kasganj,Etah
102.0,Patiyali,,359278.0,Kasganj,Etah
103.0,Aliganj,,342212.0,Etah,Farrukhabad
104.0,Etah,,337616.0,Etah,Etah
105.0,Marhara,,309883.0,Etah,Etah
106.0,Jalesar,SC,297452.0,Etah,Agra
107.0,Mainpuri,,345335.0,Mainpuri,Mainpuri
108.0,Bhongaon,,343606.0,Mainpuri,Mainpuri
109.0,Kishni,SC,310906.0,Mainpuri,Mainpuri
110.0,Karhal,,373351.0,Mainpuri,Mainpuri
111.0,Gunnaur,,411191.0,Sambhal,Badaun
112.0,Bisauli,SC,421258.0,Budaun,Badaun
113.0,Sahaswan,,426207.0,Budaun,Badaun
114.0,Bilsi,,355234.0,Budaun,Badaun
115.0,Badaun,,376111.0,Budaun,Badaun
116.0,Shekhupur,,403347.0,Budaun,Aonla
117.0,Dataganj,,407118.0,Budaun,Aonla
118.0,Baheri,,366445.0,Bareilly,Pilibhit
119.0,Meerganj,,339587.0,Bareilly,Bareilly
120.0,Bhojipura,,378098.0,Bareilly,Bareilly
121.0,Nawabganj,,339503.0,Bareilly,Bareilly
122.0,Faridpur,SC,328070.0,Bareilly,Aonla
123.0,Bithari Chainpur,,394190.0,Bareilly,Aonla
124.0,Bareilly,,457691.0,Bareilly,Bareilly
125.0,Bareilly Cantt.,,378743.0,Bareilly,Bareilly
126.0,Aonla,,315035.0,Bareilly,Aonla
127.0,Pilibhit,,378862.0,Pilibhit,Pilibhit
128.0,Barkhera,,323808.0,Pilibhit,Pilibhit
129.0,Puranpur,SC,385107.0,Pilibhit,Pilibhit
130.0,Bisalpur,,360883.0,Pilibhit,Pilibhit
131.0,Katra,,338784.0,Shahjahanpur,Shahjahanpur
132.0,Jalalabad,,367002.0,Shahjahanpur,Shahjahanpur
133.0,Tilhar,,355825.0,Shahjahanpur,Shahjahanpur
134.0,Powayan,SC,386868.0,Shahjahanpur,Shahjahanpur
135.0,Shahjahanpur,,411329.0,Shahjahanpur,Shahjahanpur
136.0,Dadraul,,355882.0,Shahjahanpur,Shahjahanpur
137.0,Palia,,360503.0,Lakhimpur Kheri,Kheri
138.0,Nighasan,,340374.0,Lakhimpur Kheri,Kheri
139.0,Gola Gokrannath,,396212.0,Lakhimpur Kheri,Kheri
140.0,Sri Nagar,SC,319314.0,Lakhimpur Kheri,Kheri
141.0,Dhaurahra,,332131.0,Lakhimpur Kheri,Dhaurahra
142.0,Lakhimpur,,411807.0,Lakhimpur Kheri,Kheri
143.0,Kasta,SC,309700.0,Lakhimpur Kheri,Dhaurahra
144.0,Mohammdi,,338672.0,Lakhimpur Kheri,Dhaurahra
145.0,Maholi,,378908.0,Sitapur,Dhaurahra
146.0,Sitapur,,399285.0,Sitapur,Sitapur
147.0,Hargaon,SC,326771.0,Sitapur,Dhaurahra
148.0,Laharpur,,354502.0,Sitapur,Sitapur
149.0,Biswan,,337785.0,Sitapur,Sitapur
150.0,Sevata,,314101.0,Sitapur,Sitapur
151.0,Mahmoodabad,,315617.0,Sitapur,Sitapur
152.0,Sidhauli,SC,355182.0,Sitapur,Mohanlalganj
153.0,Misrikh,SC,359505.0,Sitapur,Misrikh
154.0,Sawayazpur,,403324.0,Hardoi,Hardoi
155.0,Shahabad,,355083.0,Hardoi,Hardoi
156.0,Hardoi,,414295.0,Hardoi,Hardoi
157.0,Gopamau,SC,343678.0,Hardoi,Hardoi
158.0,Sandi,SC,332011.0,Hardoi,Hardoi
159.0,Bilgram-Mallanwan,,381886.0,Hardoi,Misrikh
160.0,Balamau,SC,347218.0,Hardoi,Misrikh
161.0,Sandila,,341211.0,Hardoi,Misrikh
162.0,Bangarmau,,357452.0,Unnao,Unnao
163.0,Safipur,SC,346258.0,Unnao,Unnao
164.0,Mohan,SC,342858.0,Unnao,Unnao
165.0,Unnao,,409927.0,Unnao,Unnao
166.0,Bhagwantnagar,,417945.0,Unnao,Unnao
167.0,Purwa,,415472.0,Unnao,Unnao
168.0,Malihabad,SC,360275.0,Lucknow,Mohanlalganj
169.0,Bakshi Kaa Talab,,456965.0,Lucknow,Mohanlalganj
170.0,Sarojini Nagar,,567252.0,Lucknow,Mohanlalganj
171.0,Lucknow West,,443178.0,Lucknow,Lucknow
172.0,Lucknow North,,463839.0,Lucknow,Lucknow
173.0,Lucknow East,,457521.0,Lucknow,Lucknow
174.0,Lucknow Central,,370629.0,Lucknow,Lucknow
175.0,Lucknow Cantonment,,368156.0,Lucknow,Lucknow
176.0,Mohanlalganj,SC,363044.0,Lucknow,Mohanlalganj
177.0,Bachhrawan,SC,337025.0,Raebareli,Rae Bareli
178.0,Tiloi,,351462.0,Amethi,Amethi
179.0,Harchandpur,,319603.0,Raebareli,Rae Bareli
180.0,Rae Bareli,,366267.0,Raebareli,Rae Bareli
181.0,Salon,SC,349294.0,Amethi,Amethi
182.0,Sareni,,371469.0,Amethi,Amethi
183.0,Unchahar,,339043.0,Amethi,Rae Bareli
184.0,Jagdishpur[c],SC,378415.0,Amethi,Amethi
185.0,Gauriganj,,350093.0,Amethi,Amethi
186.0,Amethi,,349837.0,Amethi,Amethi
187.0,Isauli,,358604.0,Sultanpur,Sultanpur
188.0,Sultanpur,,380581.0,Sultanpur,Sultanpur
189.0,Sadar,,344326.0,Sultanpur,Sultanpur
190.0,Lambhua,,369085.0,Sultanpur,Sultanpur
191.0,Kadipur,SC,379507.0,Sultanpur,Sultanpur
192.0,Kaimganj,SC,392514.0,Farrukhabad,Farrukhabad
193.0,Amritpur,,314663.0,Farrukhabad,Farrukhabad
194.0,Farrukhabad,,372555.0,Farrukhabad,Farrukhabad
195.0,Bhojpur,,319917.0,Farrukhabad,Farrukhabad
196.0,Chhibramau,,463433.0,Kannauj,Kannauj
197.0,Tirwa,,380571.0,Kannauj,Kannauj
198.0,Kannauj,SC,428851.0,Kannauj,Kannauj
199.0,Jaswantnagar,,392072.0,Etawah,Mainpuri
200.0,Etawah,,406509.0,Etawah,Etawah
201.0,Bharthana,SC,407642.0,Etawah,Etawah
202.0,Bidhuna,,364682.0,Auraiya,Kannauj
203.0,Dibiyapur,,323150.0,Auraiya,Etawah
204.0,Auraiya,SC,332885.0,Auraiya,Etawah
205.0,Rasulabad,SC,323657.0,Kanpur Dehat,Kannauj
206.0,Akbarpur-Raniya,,327275.0,Kanpur Dehat,Akbarpur
207.0,Sikandra,,331601.0,Kanpur Dehat,Etawah
208.0,Bhognipur,,350293.0,Kanpur Dehat,Jalaun
209.0,Bilhaur,SC,392993.0,Kanpur Nagar,Misrikh
210.0,Bithoor,,368419.0,Kanpur Nagar,Akbarpur
211.0,Kalyanpur,,355100.0,Kanpur Nagar,Akbarpur
212.0,Govind Nagar,,351663.0,Kanpur Nagar,Kanpur
213.0,Sishamau,,274888.0,Kanpur Nagar,Kanpur
214.0,Arya Nagar,,298520.0,Kanpur Nagar,Kanpur
215.0,Kidwai Nagar,,348846.0,Kanpur Nagar,Kanpur
216.0,Kanpur Cantonment,,361855.0,Kanpur Nagar,Kanpur
217.0,Maharajpur,,448458.0,Kanpur Nagar,Akbarpur
218.0,Ghatampur,SC,324443.0,Kanpur Nagar,Akbarpur
219.0,Madhogarh,,445421.0,Jalaun,Jalaun
220.0,Kalpi,,394653.0,Jalaun,Jalaun
221.0,Orai,SC,444977.0,Jalaun,Jalaun
222.0,Babina,,331743.0,Jhansi,Jhansi
223.0,Jhansi Nagar,,422164.0,Jhansi,Jhansi
224.0,Mauranipur,SC,413770.0,Jhansi,Jhansi
225.0,Garautha,,351859.0,Jhansi,Jalaun
226.0,Lalitpur,,487976.0,Lalitpur,Jhansi
227.0,Mehroni,SC,449905.0,Lalitpur,Jhansi
228.0,Hamirpur,,412700.0,Hamirpur,Hamirpur
229.0,Rath,SC,399594.0,Hamirpur,Hamirpur
230.0,Mahoba,,316799.0,Mahoba,Hamirpur
231.0,Charkhari,,346471.0,Mahoba,Hamirpur
232.0,Tindwari,,318385.0,Banda,Hamirpur
233.0,Baberu,,338211.0,Banda,Banda
234.0,Naraini,SC,342361.0,Banda,Banda
235.0,Banda,,310282.0,Banda,Banda
