District,Constituency,Constituency,Turnout,Winner,Winner,Winner,Winner,Winner,Runner-up,Runner-up,Runner-up,Runner-up,Runner-up,Margin
District,#,Name,%,Candidate,Party,Party.1,Votes,%,Candidate,Party,Party.1,Votes,%,Margin
Budaun,113.0,Sahaswan,58.86,Brajesh Yadav,,SP,83673.0,33.35,Haji Vittan Musarrat,,BSP,69728.0,27.79,13945.0
Budaun,114.0,Bilsi,57.8,Harish Chandra Shakya,,BJP,93500.0,45.54,Chandra Prakash Maurya,,SP,68385.0,33.31,25115.0
Budaun,115.0,Badaun,58.28,Mahesh Chandra Gupta,,BJP,101096.0,46.12,Raish Ahmed,,SP,89917.0,41.02,11179.0
Budaun,116.0,Shekhupur,61.08,Himanshu Yadav,,SP,105531.0,42.84,Dharmendra Shakya,,BJP,99431.0,40.36,6100.0
Budaun,117.0,Dataganj,58.29,Rajeev Kumar Singh,,BJP,107591.0,45.34,Arjun Singh,,SP,98115.0,41.35,9476.0
Bareilly,118.0,Baheri,72.59,Ataur Rehman,,SP,124145.0,46.67,Chhatrapal Singh Gangwar,,BJP,120790.0,45.41,3355.0
Bareilly,119.0,Meerganj,67.25,DC Verma,,BJP,116435.0,50.98,Sultan Baig,,SP,83955.0,36.76,32840.0
Bareilly,120.0,Bhojipura,68.83,Shazil Islam Ansari,,SP,119402.0,45.88,Bahoran Lal Maurya,,BJP,109993.0,42.26,9409.0
Bareilly,121.0,Nawabganj,67.89,Dr. M. P. Arya Gangwar,,BJP,111113.0,48.2,Bhagwat Saran Gangwar,,SP,101876.0,44.2,9237.0
Bareilly,122.0,Faridpur (SC),62.0,Shyam Bihari Lal,,BJP,92070.0,45.22,Vijay Pal Singh,,SP,89149.0,43.78,2921.0
Bareilly,123.0,Bithari Chainpur,62.92,Raghavendra Sharma,,BJP,115417.0,46.53,Agam Maurya,,SP,99576.0,40.15,15841.0
Bareilly,124.0,Bareilly,52.43,Dr. Arun Kumar Saxena,,BJP,129014.0,53.77,Rajesh Aggarwal,,SP,96694.0,40.3,32320.0
Bareilly,125.0,Bareilly Cantt,51.79,Sanjeev Agarwal,,BJP,98931.0,50.43,Supriya Aron,,SP,88163.0,44.94,10768.0
Bareilly,126.0,Aonla,60.79,Dharampal Singh,,BJP,88956.0,46.45,Radha Krishan Sharma,,SP,70532.0,36.83,18424.0
Pilibhit,127.0,Pilibhit,68.89,Sanjay Singh Gangwar,,BJP,125506.0,48.08,Shailendra Gangwar,,SP,118536.0,45.41,6970.0
Pilibhit,128.0,Barkhera,73.46,Swami Pravaktanand,,BJP,151771.0,63.8,Hemraj Verma,,SP,70299.0,29.55,81472.0
Pilibhit,129.0,Puranpur (SC),69.64,Babu Ram Paswan,,BJP,134404.0,50.12,Ms Arti,,SP,107828.0,40.21,26576.0
Pilibhit,130.0,Bisalpur,66.4,Vivek Kumar Verma,,BJP,121142.0,50.55,Divya Gangwar,,SP,70733.0,29.52,50409.0
Shahjahanpur,131.0,Katra,57.55,Veer Vikram Singh,,BJP,77800.0,39.9,Rajesh Yadav,,SP,77443.0,39.72,357.0
Shahjahanpur,132.0,Jalalabad,59.04,Hari Prakash Verma,,BJP,99609.0,45.97,Niraj Nilinesh,,SP,95037.0,43.86,4572.0
Shahjahanpur,133.0,Tilhar,59.99,Salona Kushwaha,,BJP,102307.0,47.93,Roshan Lal Verma,,SP,89030.0,41.71,13277.0
Shahjahanpur,134.0,Powayan (SC),60.31,Chetram Pasi,,BJP,129785.0,55.62,Upendra Pal Singh,,SP,78207.0,33.62,51578.0
Shahjahanpur,135.0,Shahjahanpur,54.57,Suresh Kumar Khanna,,BJP,109942.0,48.98,Tanveer Khan,,SP,100629.0,44.83,9313.0
Shahjahanpur,136.0,Dadraul,62.96,Manvendra Singh,,BJP,100957.0,45.06,Rajesh Kumar Verma,,SP,91256.0,40.73,9701.0
Lakhimpur Kheri,137.0,Palia,65.58,Harvindar Kumar Sahani,,BJP,118864.0,50.2,Pritinder Singh Kakku,,SP,80735.0,34.1,38129.0
Lakhimpur Kheri,138.0,Nighasan,69.57,Shashank Verma,,BJP,126488.0,53.41,R S Kushwaha,,SP,85479.0,36.1,41009.0
Lakhimpur Kheri,139.0,Gola Gokrannath,65.62,Arvind Giri,,BJP,126534.0,48.67,Vinay Tiwari,,SP,97240.0,37.4,29294.0
Lakhimpur Kheri,140.0,Sri Nagar (SC),71.81,Manju Tyagi,,BJP,108249.0,47.21,Ram Sharan,,SP,90641.0,39.53,17608.0
Lakhimpur Kheri,141.0,Dhaurahra,69.04,Vinod Shankar Awasthi,,BJP,113498.0,49.49,Varun Singh,,SP,88888.0,38.76,24610.0
Lakhimpur Kheri,142.0,Lakhimpur,65.44,Yogesh Verma,,BJP,127663.0,47.38,Utkarsh Verma Madhur,,SP,107085.0,39.74,20578.0
Lakhimpur Kheri,143.0,Kasta (SC),69.6,Saurabh Singh,,BJP,103315.0,47.93,Sunil Kumar Lala,,SP,89498.0,41.52,13817.0
Lakhimpur Kheri,144.0,Mohammdi,68.63,Lokendra Pratap Singh,,BJP,99377.0,42.75,Daud Ahmad,,SP,94506.0,40.66,4871.0
Sitapur,145.0,Maholi,66.11,Shashank Trivedi,,BJP,112040.0,44.73,Anoop Kumar Gupta,,SP,99868.0,39.87,12172.0
Sitapur,146.0,Sitapur,58.24,Rakesh Rathour,,BJP,99349.0,42.72,Radhe Shyam Jaiswal,,SP,98096.0,42.18,1253.0
Sitapur,147.0,Hargaon (SC),68.07,Suresh Rahi,,BJP,116691.0,52.46,Ramhet Bharti,,SP,78531.0,35.31,38160.0
Sitapur,148.0,Laharpur,66.74,Anil Kumar Verma,,SP,112987.0,47.05,Suneel Verma,,BJP,99832.0,41.57,13155.0
Sitapur,149.0,Biswan,70.1,Nirmal Verma,,BJP,106014.0,44.77,Afzaal Kausar,,SP,95536.0,40.35,10478.0
Sitapur,150.0,Sevata,71.04,Gyan Tiwari,,BJP,108057.0,47.43,Mahendra Kumar Singh,,SP,87619.0,39.34,20438.0
Sitapur,151.0,Mahmoodabad,69.66,Asha Maurya,,BJP,92091.0,41.91,Narendra Singh Verma,,SP,86869.0,39.51,5222.0
Sitapur,152.0,Sidhauli (SC),68.62,Manish Rawat,,BJP,106222.0,43.58,Dr. Hargovind Bhargawa,,SP,96506.0,39.6,9716.0
